TP9,AF7,AF8,TP10,board_ts,unix_ts
1.953125,358.3984375,977.05078125,-3.41796875,1758405223.1307118,1758405223.144126
8.30078125,10.25390625,750.48828125,-6.8359375,1758405223.133316,1758405223.1480322
11.71875,-199.70703125,625.48828125,2.9296875,1758405223.1359205,1758405223.1519384
9.27734375,-110.83984375,725.09765625,-4.8828125,1758405223.138525,1758405223.1558447
11.71875,-34.1796875,781.73828125,-6.8359375,1758405223.1411293,1758405223.159751
9.27734375,-500.0,442.3828125,0.9765625,1758405223.1437335,1758405223.1636572
1.953125,-417.48046875,554.19921875,-1.953125,1758405223.146338,1758405223.1675634
4.8828125,385.7421875,999.51171875,-3.90625,1758405223.1489425,1758405223.1714697
7.32421875,415.52734375,986.328125,2.9296875,1758405223.1515467,1758405223.175376
7.8125,-409.1796875,473.14453125,16.6015625,1758405223.1553383,1758405223.1792822
4.39453125,-335.9375,565.4296875,15.13671875,1758405223.1591296,1758405223.1831884
-2.44140625,448.2421875,999.51171875,1.953125,1758405223.1629212,1758405223.1870947
3.90625,234.375,872.55859375,5.859375,1758405223.1667125,1758405223.191001
6.34765625,61.5234375,765.625,12.6953125,1758405223.170504,1758405223.1949072
13.671875,-16.11328125,643.06640625,20.99609375,1758405223.1742954,1758405223.1988134
27.34375,-96.19140625,618.65234375,27.34375,1758405223.178087,1758405223.2027197
33.203125,-188.4765625,594.7265625,26.3671875,1758405223.1818786,1758405223.206626
23.92578125,-855.95703125,32.71484375,30.2734375,1758405223.18567,1758405223.2105322
11.71875,-339.35546875,466.796875,21.484375,1758405223.1894615,1758405223.2144384
14.16015625,428.7109375,999.51171875,18.5546875,1758405223.1932528,1758405223.2183447
25.390625,93.26171875,746.09375,31.25,1758405223.1970444,1758405223.222251
31.73828125,94.23828125,703.125,37.109375,1758405223.2007806,1758405223.2261572
25.87890625,414.55078125,850.5859375,35.64453125,1758405223.2045166,1758405223.2300634
30.76171875,357.91015625,685.546875,28.3203125,1758405223.208253,1758405223.2339697
47.8515625,54.19921875,436.5234375,33.203125,1758405223.2119892,1758405223.237876
49.31640625,5.859375,433.59375,35.15625,1758405223.2157252,1758405223.2417822
49.31640625,-153.3203125,297.36328125,40.0390625,1758405223.2194614,1758405223.2456884
46.875,-222.65625,278.80859375,51.7578125,1758405223.2231977,1758405223.2495947
56.15234375,-583.984375,29.78515625,58.59375,1758405223.2269337,1758405223.253501
73.2421875,-541.50390625,126.953125,62.98828125,1758405223.23067,1758405223.2574072
77.1484375,279.296875,751.46484375,64.94140625,1758405223.2344062,1758405223.2613134
69.3359375,104.4921875,484.86328125,68.84765625,1758405223.2381423,1758405223.2652197
70.3125,-333.0078125,191.40625,65.91796875,1758405223.2418785,1758405223.269126
90.8203125,20.99609375,518.5546875,70.3125,1758405223.245621,1758405223.2730322
91.30859375,424.8046875,742.1875,71.2890625,1758405223.2493634,1758405223.2769384
85.44921875,106.93359375,409.1796875,65.4296875,1758405223.2531056,1758405223.2808447
71.77734375,-88.8671875,269.53125,58.59375,1758405223.256848,1758405223.284751
56.640625,177.24609375,465.8203125,46.38671875,1758405223.2605906,1758405223.2886572
51.7578125,16.11328125,356.4453125,39.55078125,1758405223.264333,1758405223.2925634
39.0625,-446.77734375,53.7109375,41.015625,1758405223.2680755,1758405223.2964697
35.64453125,-710.44921875,-129.39453125,47.8515625,1758405223.271818,1758405223.300376
41.9921875,-56.640625,393.5546875,47.36328125,1758405223.2755604,1758405223.3042822
43.9453125,439.94140625,718.26171875,42.96875,1758405223.2793026,1758405223.3081884
45.41015625,86.9140625,385.7421875,36.62109375,1758405223.283045,1758405223.3120947
57.12890625,22.4609375,305.17578125,33.203125,1758405223.2867875,1758405223.316001
